Player_ID,Player_Name,DOB,Gender,FIDE_Percentile,Player_Rating,Country
GD-11-MCSU,Paul Fletcher,1957-06-13,M,95.88513913558319,20,GD
CF-73-AWDV,Kaitlyn Sweeney,1970-12-01,F,44.13854351687389,0,CF
SL-37-GVYX,Joshua Robinson,1988-10-16,M,44.13854351687389,0,SL
PE-42-UTAT,James Banks,1975-11-20,M,44.13854351687389,0,PE
BN-21-NJLH,Heidi Maldonado,1963-09-10,F,44.13854351687389,0,BN
LA-84-WLTS,Shelby Martinez,1983-05-11,F,44.13854351687389,0,LA
LB-50-OJRQ,Eric Vazquez,1972-10-26,M,44.13854351687389,0,LB
UY-98-WJIP,April Daniels,1999-11-09,F,95.88513913558319,20,UY
FR-56-GSWF,Todd Barnes,1964-01-10,M,44.13854351687389,0,FR
PS-74-TZSS,Joseph Mann,1982-01-22,M,44.13854351687389,0,PS
ME-10-UIUV,Stephanie Rodriguez,1957-06-12,F,44.13854351687389,0,ME
SM-35-WTRU,Christopher Rodriguez,1953-10-11,M,44.13854351687389,0,SM
SK-73-BGAP,Emily Stephens,1982-06-13,F,44.13854351687389,0,SK
BW-29-KQMM,Heather Wright,1984-03-25,F,44.13854351687389,0,BW
DM-57-XECI,Scott Vaughn,2001-03-21,M,44.13854351687389,0,DM
CG-86-AMJF,Robert Sanders,1988-03-01,M,44.13854351687389,0,CG
AT-46-VVPY,Laurie Acosta,1968-04-28,F,44.13854351687389,0,AT
SY-38-FCVX,Anna Johnson,1961-06-14,F,44.13854351687389,0,SY
PY-33-OEQQ,Brian Anderson,1959-05-07,M,44.13854351687389,0,PY
CG-03-SHYA,Katie Reynolds,1953-05-31,F,44.13854351687389,0,CG
UY-76-ACAP,Ronald Jenkins,1987-02-07,M,44.13854351687389,0,UY
MV-09-ERRA,Garrett Miller,1970-08-22,M,44.13854351687389,0,MV
US-01-PZRZ,Kimberly Lin,1995-12-09,F,44.13854351687389,0,US
BI-39-PWNY,Beverly Simpson,2001-04-08,F,44.13854351687389,0,BI
NE-30-EJDP,Elizabeth Mccormick,1989-12-18,F,44.13854351687389,0,NE
BH-00-SPDN,Erica House,1982-06-05,F,44.13854351687389,0,BH
AG-69-VFQD,Jenna Roberts,1953-05-23,F,44.13854351687389,0,AG
TO-23-KPJC,Justin Short,1970-01-29,M,44.13854351687389,0,TO
CI-73-DDVN,Jose Santos,1973-11-27,M,44.13854351687389,0,CI
AG-01-UXIE,Karen Ryan,1994-06-20,F,44.13854351687389,0,AG
BA-46-HOBD,Claire Walton,1985-11-23,F,44.13854351687389,0,BA
LK-48-GFAN,Ashley Stevens,1997-10-12,F,44.13854351687389,0,LK
CL-21-YPEN,Sandra Yang,1953-03-20,F,44.13854351687389,0,CL
KE-92-WAHC,Joseph Thompson,2004-04-05,M,91.1190053285968,10,KE
MW-96-PLJP,Julie Hayes,1979-09-23,F,44.13854351687389,0,MW
TJ-03-QKMC,Thomas Richard,1956-01-05,M,44.13854351687389,0,TJ
NG-37-TUDL,Tara Gallagher,1968-03-13,F,98.13499111900533,40,NG
GD-24-YYDQ,Andrew Carpenter,1998-09-17,M,44.13854351687389,0,GD
ER-91-BELR,Tonya Carter,1985-11-17,F,44.13854351687389,0,ER
ET-94-PLBO,Anthony Rodriguez,1982-01-27,M,44.13854351687389,0,ET
IE-78-DBMB,Lindsey Levine,1970-11-18,F,44.13854351687389,0,IE
IQ-63-RQKX,Melissa Frazier,2001-05-18,F,44.13854351687389,0,IQ
PA-36-PQVX,Matthew Robinson,1990-06-02,M,44.13854351687389,0,PA
MY-90-IXMO,Terri Hoover,1978-03-17,F,44.13854351687389,0,MY
SM-75-TARR,Nancy Perez,1974-06-10,F,44.13854351687389,0,SM
ST-89-VJUD,Maria Hansen,1993-06-05,F,44.13854351687389,0,ST
SZ-90-SHZL,Savannah Reynolds,1987-01-14,F,44.13854351687389,0,SZ
KG-63-NPRU,Jeffery Frazier,1966-11-20,M,44.13854351687389,0,KG
NL-80-YBKY,Terry Holland,1988-04-21,M,44.13854351687389,0,NL
RW-56-VHBX,Jessica Holt,1983-12-03,F,44.13854351687389,0,RW
KW-05-LASK,Richard Lee,1976-05-16,M,44.13854351687389,0,KW
IR-30-ZMJJ,Robert Rodriguez,1967-08-03,M,91.1190053285968,10,IR
MA-16-CPUF,Mike Cherry,1963-09-02,M,44.13854351687389,0,MA
NR-86-QALK,Emily Chen,1982-09-19,F,44.13854351687389,0,NR
RU-15-XKLL,Eric Vaughn,1975-06-16,M,44.13854351687389,0,RU
CA-97-JDWO,Gary Smith,1983-08-08,M,91.1190053285968,10,CA
NO-72-SVLU,Samuel Moore,1983-09-06,M,44.13854351687389,0,NO
PH-45-MUMM,Linda White,1980-05-06,F,44.13854351687389,0,PH
ER-35-DGSN,John Franco,1988-08-16,M,95.88513913558319,20,ER
CR-08-ARCA,Martin Moss,1957-09-15,M,44.13854351687389,0,CR
SI-27-BNDV,Tiffany Thomas,1963-07-17,F,44.13854351687389,0,SI
IQ-86-FKRC,Leslie Elliott,1973-09-04,F,91.1190053285968,10,IQ
SZ-49-IPDQ,Kayla Blackwell,1956-05-06,F,44.13854351687389,0,SZ
KP-84-JABW,Erin Young,1987-10-05,F,44.13854351687389,0,KP
ER-41-HTKZ,Melissa Williams,1985-05-31,F,44.13854351687389,0,ER
LI-58-XSDH,Donna Hawkins,1989-10-16,F,44.13854351687389,0,LI
NI-18-BWLH,Teresa Butler,1995-08-28,F,44.13854351687389,0,NI
IT-59-BTTN,Andres Williams,1970-10-19,M,44.13854351687389,0,IT
NE-62-IHMM,Patrick Smith,1980-10-20,M,44.13854351687389,0,NE
GM-33-UABS,Lisa Jones,1965-05-17,F,44.13854351687389,0,GM
